eps, eps_squared
-1.1611000000e+00, 5.4360600000e+02
-1.1660000000e+00, 5.4787200000e+02
-1.1783000000e+00, 5.5835720000e+02
-1.1027000000e+00, 4.9014840000e+02
-1.1603000000e+00, 5.4241800000e+02
-1.2008000000e+00, 5.8314080000e+02
-1.1716000000e+00, 5.5358880000e+02
-1.3190000000e+00, 7.0164960000e+02
-1.2568000000e+00, 6.3888880000e+02
-1.2573000000e+00, 6.4131400000e+02
-1.2254000000e+00, 6.0337040000e+02
-1.2466000000e+00, 6.3024480000e+02
-1.1630000000e+00, 5.4425440000e+02
-1.1571000000e+00, 5.4060440000e+02
-1.2008000000e+00, 5.7979040000e+02
-1.3902000000e+00, 7.7782080000e+02
-1.2081000000e+00, 5.8679400000e+02
-1.1813000000e+00, 5.6432120000e+02
-1.1911000000e+00, 5.7088360000e+02
-1.2413000000e+00, 6.2031480000e+02
-1.2437000000e+00, 6.2609000000e+02
-1.3486000000e+00, 7.3439440000e+02
-1.2584000000e+00, 6.3766160000e+02
-1.2102000000e+00, 5.9096640000e+02
-1.4135000000e+00, 8.0438920000e+02
-1.1364000000e+00, 5.1998240000e+02
-1.1159000000e+00, 5.0217160000e+02
-1.1642000000e+00, 5.4756880000e+02
-1.2126000000e+00, 5.9544880000e+02
-1.3772000000e+00, 7.6626560000e+02
-1.4084000000e+00, 8.0078480000e+02
-1.3152000000e+00, 6.9552480000e+02
-1.1707000000e+00, 5.5251000000e+02
-1.2674000000e+00, 6.4722880000e+02
-1.1410000000e+00, 5.2421440000e+02
-1.1621000000e+00, 5.4606360000e+02
-1.1700000000e+00, 5.5254000000e+02
-1.2971000000e+00, 6.7693720000e+02
-1.2240000000e+00, 6.0900640000e+02
-1.2111000000e+00, 5.9128520000e+02
-1.2978000000e+00, 6.8038320000e+02
-1.4095000000e+00, 7.9904120000e+02
-1.3278000000e+00, 7.1609440000e+02
-1.1130000000e+00, 4.9933680000e+02
-1.1533000000e+00, 5.3909880000e+02
-1.1862000000e+00, 5.6608160000e+02
-1.1402000000e+00, 5.2487680000e+02
-1.1060000000e+00, 4.9361840000e+02
-1.2629000000e+00, 6.4135880000e+02
-1.3019000000e+00, 6.8170440000e+02
-1.1616000000e+00, 5.4283760000e+02
-1.3089000000e+00, 6.9686040000e+02
-1.3174000000e+00, 7.0175280000e+02
-1.2762000000e+00, 6.5716080000e+02
-1.3890000000e+00, 7.7707360000e+02
-1.3816000000e+00, 7.6736880000e+02
-1.2629000000e+00, 6.4330120000e+02
-1.1743000000e+00, 5.5508600000e+02
-1.1512000000e+00, 5.3200160000e+02
-1.2924000000e+00, 6.7563200000e+02
-1.2214000000e+00, 5.9982080000e+02
-1.3016000000e+00, 6.8080480000e+02
-1.3745000000e+00, 7.6293400000e+02
-1.2054000000e+00, 5.8682080000e+02
-1.3186000000e+00, 7.0144320000e+02
-1.1387000000e+00, 5.2240920000e+02
-1.1449000000e+00, 5.2903560000e+02
-1.1729000000e+00, 5.5251400000e+02
-1.2346000000e+00, 6.1610720000e+02
-1.3652000000e+00, 7.5441040000e+02
-1.2786000000e+00, 6.6146560000e+02
-1.2348000000e+00, 6.1542400000e+02
-1.1983000000e+00, 5.7885160000e+02
-1.1794000000e+00, 5.6121840000e+02
-1.1777000000e+00, 5.5963000000e+02
-1.2698000000e+00, 6.5231280000e+02
-1.1505000000e+00, 5.3335240000e+02
-1.1898000000e+00, 5.7380560000e+02
-1.3179000000e+00, 7.0055960000e+02
-1.1892000000e+00, 5.7568000000e+02
-1.1868000000e+00, 5.6584480000e+02
-1.3025000000e+00, 6.8576920000e+02
-1.3054000000e+00, 6.8549040000e+02
-1.2830000000e+00, 6.6396000000e+02
-1.2188000000e+00, 5.9822640000e+02
-1.2659000000e+00, 6.4810120000e+02
-1.3010000000e+00, 6.8152400000e+02
-1.3106000000e+00, 6.9658160000e+02
-1.1767000000e+00, 5.5863320000e+02
-1.1521000000e+00, 5.3511160000e+02
-1.2513000000e+00, 6.3751480000e+02
-1.3499000000e+00, 7.3415480000e+02
-1.3092000000e+00, 6.9318880000e+02
