step, E, E2, absM, M2
238000, -7.9861176471e+00, 6.3888941176e+01, 3.9953613445e+00, 1.5976840336e+01
239000, -7.9861087866e+00, 6.3888870293e+01, 3.9953640167e+00, 1.5976836820e+01
240000, -7.9861666667e+00, 6.3889333333e+01, 3.9953833333e+00, 1.5976933333e+01
241000, -7.9860248963e+00, 6.3888199170e+01, 3.9953278008e+00, 1.5976680498e+01
242000, -7.9860495868e+00, 6.3888396694e+01, 3.9953305785e+00, 1.5976710744e+01
243000, -7.9860740741e+00, 6.3888592593e+01, 3.9953415638e+00, 1.5976757202e+01
244000, -7.9860327869e+00, 6.3888262295e+01, 3.9953278689e+00, 1.5976688525e+01
245000, -7.9858938776e+00, 6.3887151020e+01, 3.9952734694e+00, 1.5976440816e+01
246000, -7.9857560976e+00, 6.3886048780e+01, 3.9952439024e+00, 1.5976243902e+01
247000, -7.9857813765e+00, 6.3886251012e+01, 3.9952550607e+00, 1.5976291498e+01
248000, -7.9858387097e+00, 6.3886709677e+01, 3.9952741935e+00, 1.5976387097e+01
249000, -7.9854779116e+00, 6.3883823293e+01, 3.9951566265e+00, 1.5975791165e+01
250000, -7.9855360000e+00, 6.3884288000e+01, 3.9951760000e+00, 1.5975888000e+01
251000, -7.9854980080e+00, 6.3883984064e+01, 3.9951633466e+00, 1.5975824701e+01
252000, -7.9855238095e+00, 6.3884190476e+01, 3.9951746032e+00, 1.5975873016e+01
253000, -7.9854861660e+00, 6.3883889328e+01, 3.9951620553e+00, 1.5975810277e+01
254000, -7.9855433071e+00, 6.3884346457e+01, 3.9951811024e+00, 1.5975905512e+01
255000, -7.9855686275e+00, 6.3884549020e+01, 3.9951921569e+00, 1.5975952941e+01
256000, -7.9853750000e+00, 6.3883000000e+01, 3.9951406250e+00, 1.5975656250e+01
257000, -7.9852451362e+00, 6.3881961089e+01, 3.9950894942e+00, 1.5975424125e+01
258000, -7.9852713178e+00, 6.3882170543e+01, 3.9950930233e+00, 1.5975457364e+01
259000, -7.9852972973e+00, 6.3882378378e+01, 3.9951042471e+00, 1.5975505792e+01
260000, -7.9853230769e+00, 6.3882584615e+01, 3.9951153846e+00, 1.5975553846e+01
261000, -7.9853486590e+00, 6.3882789272e+01, 3.9951264368e+00, 1.5975601533e+01
262000, -7.9853435115e+00, 6.3882748092e+01, 3.9951297710e+00, 1.5975603053e+01
263000, -7.9853992395e+00, 6.3883193916e+01, 3.9951482890e+00, 1.5975695817e+01
264000, -7.9854545455e+00, 6.3883636364e+01, 3.9951666667e+00, 1.5975787879e+01
265000, -7.9854188679e+00, 6.3883350943e+01, 3.9951396226e+00, 1.5975698113e+01
266000, -7.9854736842e+00, 6.3883789474e+01, 3.9951578947e+00, 1.5975789474e+01
267000, -7.9855280899e+00, 6.3884224719e+01, 3.9951760300e+00, 1.5975880150e+01
268000, -7.9855223881e+00, 6.3884179104e+01, 3.9951641791e+00, 1.5975850746e+01
269000, -7.9854275093e+00, 6.3883420074e+01, 3.9951375465e+00, 1.5975702602e+01
270000, -7.9854814815e+00, 6.3883851852e+01, 3.9951555556e+00, 1.5975792593e+01
271000, -7.9853284133e+00, 6.3882627306e+01, 3.9951217712e+00, 1.5975571956e+01
272000, -7.9853529412e+00, 6.3882823529e+01, 3.9951323529e+00, 1.5975617647e+01
273000, -7.9854065934e+00, 6.3883252747e+01, 3.9951501832e+00, 1.5975706960e+01
274000, -7.9854014599e+00, 6.3883211679e+01, 3.9951386861e+00, 1.5975678832e+01
275000, -7.9854545455e+00, 6.3883636364e+01, 3.9951563636e+00, 1.5975767273e+01
276000, -7.9854782609e+00, 6.3883826087e+01, 3.9951666667e+00, 1.5975811594e+01
277000, -7.9855306859e+00, 6.3884245487e+01, 3.9951841155e+00, 1.5975898917e+01
278000, -7.9854100719e+00, 6.3883280576e+01, 3.9951582734e+00, 1.5975726619e+01
279000, -7.9853189964e+00, 6.3882551971e+01, 3.9951111111e+00, 1.5975541219e+01
280000, -7.9852285714e+00, 6.3881828571e+01, 3.9950857143e+00, 1.5975400000e+01
281000, -7.9852811388e+00, 6.3882249110e+01, 3.9951032028e+00, 1.5975487544e+01
282000, -7.9852765957e+00, 6.3882212766e+01, 3.9950992908e+00, 1.5975475177e+01
283000, -7.9853003534e+00, 6.3882402827e+01, 3.9951095406e+00, 1.5975519435e+01
284000, -7.9853521127e+00, 6.3882816901e+01, 3.9951267606e+00, 1.5975605634e+01
285000, -7.9854035088e+00, 6.3883228070e+01, 3.9951438596e+00, 1.5975691228e+01
286000, -7.9854265734e+00, 6.3883412587e+01, 3.9951468531e+00, 1.5975720280e+01
287000, -7.9852822300e+00, 6.3882257840e+01, 3.9950940767e+00, 1.5975470383e+01
288000, -7.9853333333e+00, 6.3882666667e+01, 3.9951111111e+00, 1.5975555556e+01
289000, -7.9853840830e+00, 6.3883072664e+01, 3.9951280277e+00, 1.5975640138e+01
290000, -7.9854068966e+00, 6.3883255172e+01, 3.9951310345e+00, 1.5975668966e+01
291000, -7.9853745704e+00, 6.3882996564e+01, 3.9951271478e+00, 1.5975628866e+01
292000, -7.9853424658e+00, 6.3882739726e+01, 3.9951095890e+00, 1.5975561644e+01
293000, -7.9852832765e+00, 6.3882266212e+01, 3.9950784983e+00, 1.5975440273e+01
